gait_percentage,ShankAngles,ShankVelocity,ShankAngularVelocity,ShankIntegral,ThighAngles,ThighVelocity,ThighAngularVelocity,ThighIntegral
97,92.19244812479366,0.5,-143.4482983967058,104.842307701631,74.29483238337178,0.5,100.33552530241252,82.38623075444013
98,91.1411017904237,0.5,-105.13463343699527,104.842307701631,75.24947442469502,0.5,95.46420413232397,82.38623075444013
99,90.466424937059,0.5,-67.46768533647014,104.842307701631,76.15155541932634,0.5,90.20809946313193,82.38623075444013
100,90.13992681964078,0.5,-32.64981174182253,104.842307701631,76.9971834766102,0.5,84.56280572838608,82.38623075444013
1,84.37325089764072,0.5,,104.90457059133746,73.24359905936116,0.5,,82.42118693975372
2,85.27203474757859,0.5,89.87838499378711,104.90457059133746,73.67446634701348,0.5,43.086728765231896,82.42118693975372
3,85.73735026418818,0.5,46.53155166095928,104.90457059133746,74.28087335181753,0.5,60.640700480405485,82.42118693975372
4,85.89278839302686,0.5,15.543812883868213,104.90457059133746,75.04125617361707,0.5,76.03828217995385,82.42118693975372
5,86.2002723369105,0.5,30.74839438836392,104.90457059133746,75.75923153003808,0.5,71.79753564210074,82.42118693975372
6,86.8320345836388,0.5,63.17622467283002,104.90457059133746,76.2399025843544,0.5,48.067105431631774,82.42118693975372
7,87.71339934254935,0.5,88.136475891055,104.90457059133746,76.48261535586902,0.5,24.271277151461845,82.42118693975372
8,88.64990025369514,0.5,93.65009111457852,104.90457059133746,76.68869315642516,0.5,20.607780055614455,82.42118693975372
9,89.55116896290315,0.5,90.12687092080114,104.90457059133746,76.93259463883011,0.5,24.39014824049508,82.42118693975372
10,90.37008165455254,0.5,81.89126916493876,104.90457059133746,77.27526357978783,0.5,34.266894095772216,82.42118693975372
11,91.09193936396863,0.5,72.18577094160992,104.90457059133746,77.71908590793574,0.5,44.38223281479026,82.42118693975372
12,91.72688984137598,0.5,63.49504774073438,104.90457059133746,78.28387201756684,0.5,56.47861096311004,82.42118693975372
13,92.2989343056081,0.5,57.20444642321212,104.90457059133746,78.97002926019923,0.5,68.61572426323903,82.42118693975372
14,92.82474475673553,0.5,52.581045112742686,104.90457059133746,79.74998895974034,0.5,77.99596995411093,82.42118693975372
15,93.31154822451934,0.5,48.680346778381534,104.90457059133746,80.56776916201476,0.5,81.77802022744203,82.42118693975372
16,93.74085709921174,0.5,42.930887469239565,104.90457059133746,81.40285608061983,0.5,83.50869186050716,82.42118693975372
17,94.167986972257,0.5,42.712987304525996,104.90457059133746,82.17580596317936,0.5,77.294988255953,82.42118693975372
18,94.57405983312728,0.5,40.60728608702817,104.90457059133746,82.84229655097592,0.5,66.64905877965595,82.42118693975372
19,94.96680195730198,0.5,39.27421241747027,104.90457059133746,83.47481133780943,0.5,63.25147868335108,82.42118693975372
20,95.35239000959928,0.5,38.55880522972939,104.90457059133746,84.11330043574868,0.5,63.84890979392566,82.42118693975372
21,95.71882488409,0.5,36.643487449072154,104.90457059133746,84.74903298727058,0.5,63.573255152189745,82.42118693975372
22,96.06517054780952,0.5,34.63456637195179,104.90457059133746,85.41287225113732,0.5,66.38392638667341,82.42118693975372
23,96.40189599820155,0.5,33.67254503920378,104.90457059133746,86.13886008144028,0.5,72.59878303029694,82.42118693975372
24,96.72592269799672,0.5,32.40266997951693,104.90457059133746,86.84540402540738,0.5,70.65439439670911,82.42118693975372
25,97.0563716292522,0.5,33.0448931255475,104.90457059133746,87.5406423706144,0.5,69.52383452070308,82.42118693975372
26,97.40206051052482,0.5,34.5688881272622,104.90457059133746,88.21280711129855,0.5,67.21647406841385,82.42118693975372
27,97.73028495004456,0.5,32.82244395197438,104.90457059133746,88.87421335293666,0.5,66.14062416381188,82.42118693975372
